year,famille,"T0: social, entreprise, liberté","T1: national, front, force","T2: entreprise, travailleur, payer","T3: france, majorité, député","T4: maire, conseiller, général","T5: national, immigration, france","T6: travailleur, contre, droit","T7: communiste, gauche, parti","T8: écologie, emploi, environnement","T9: travailleur, lutte, voter","T10: alsace, région, strasbourg","T11: travailleur, voter, gauche"
1973,centre_droite,1.300046881984352,0.9337302744652229,0.8957224869728375,1.8810497894615872,1.4246779675762324,0.9090010111482915,0.12301734644019997,0.11847421142493259,1.3094799182757473,0.0759730244146554,1.507016507482497,0.8222003126770909
1973,extreme_droite,0.8467193104440177,9.358445307140578,0.6458792512970446,0.12748318251913288,0.2218573287154958,7.671298813153558,0.40017005316949766,0.03217013835009507,1.3741217731686226,6.386645503324759,0.02582139273412536,0.5755539776080338
1973,gauche,1.4649412953940446,0.4901439817402175,1.4679258151568535,0.8745892956457483,1.534479249288286,1.2371390020234396,0.5484912251491161,0.8594422044535479,1.1848433212476197,0.05506141076921165,1.0125702521728093,1.6159609347620736
1973,gauche_radicale,0.5257035504082614,0.5037261083530948,0.8845259769494012,0.4056668949191108,0.4459504548834227,0.308771650721368,2.0269219224003003,1.9084760646737031,0.6088809284507047,1.736296135429946,0.6607391921372308,0.8781164192498153
1978,centre_droite,1.5566675228428577,0.3214352309521529,0.41980102841354355,1.7352043900215788,1.5573120386095187,0.6172894649347229,0.12522700769787498,0.11211442509799179,2.0570557020891407,1.6700407300246243,1.2116415388631867,0.030286331720522447
1978,droite_gaulliste,1.3152282116031326,0.4394818229739232,0.83379269769119,2.3324051747649728,1.7787720670728142,0.5736949042145815,0.114401582290598,0.13268724823077613,0.6870511263099303,1.152737199758876,1.5487992578845389,0.02784221870775362
1978,ecologistes,0.4781288328706714,0.6126411922685722,0.9815019749257561,0.225347203663297,0.38391421470040027,1.8174301002129118,2.7840107419203495,0.2653809068048327,8.724240763862824,1.0971711640906132,0.03112573578548223,0.048351431919065956
1978,extreme_droite,2.5913596509977674,17.933613938505136,0.3152727064733074,0.2818800732544275,0.062451878715035936,15.049757252871327,0.25965819652105837,0.060059654942628014,0.05204925756618573,7.622389331231791,0.026449987410759348,0.005053531834334644
1978,gauche,1.6137369801749357,0.21664423973184507,0.9163513286580368,0.9548689320569578,1.4703332276409407,0.43885622926753903,0.41798181484636243,1.0819711658775673,1.0545577890852291,0.49847750651717876,1.5279320761842259,0.04417425445335024
1978,gauche_radicale,0.305568361684305,0.2758273709801166,1.333038380243983,0.4206792899098244,0.4372827840504658,0.2333356709319428,1.8425734825051687,1.6581904279951432,0.48774579653949457,0.39109200028399044,0.6148671099411429,2.2414626663893955
1981,centre_droite,1.870100801131723,0.5531133414794033,2.4696141006186516,1.134875523636768,1.782565666230957,1.3188343489365986,0.24083871242497049,0.17213820415340997,0.9913662146033202,0.8591285944706426,0.200064449068628,0.08186642089219304
1981,droite_gaulliste,1.474012288448216,0.8707926455085306,1.6528805647184226,1.4092676204988313,1.4850878741013578,1.218636239128467,0.22956400101514632,0.15475540847594113,0.5339102582961915,1.1163847182423385,1.453636531823025,0.07031653971811208
1981,ecologistes,0.37502607044705916,0.253897038794237,1.3287170887139228,0.29659474619034404,0.4443613192695323,0.40815070731764774,1.8241248279008841,0.22375583875123717,9.212887325966646,3.2089074839423612,6.129064694421121,0.09772322686145071
1981,extreme_droite,4.234647532124597,17.6333488344761,0.14241894382264159,0.23292848405894312,0.08425591879096332,24.199529047930493,0.17111838302286853,0.12314897964448937,0.09873873690185399,5.867207506366531,0.016418560214479884,0.0031539818233116772
1981,gauche,1.1451264595972286,0.9507365694395306,0.9106126605911916,1.3649673267790738,1.4153357148525891,0.27437335088494047,0.21143710583119654,0.5854570317749578,0.7642561462419774,0.6854250500732799,1.1810831468425365,0.08855394109370032
1981,gauche_radicale,0.40134835852542133,0.36119399619768255,0.5597292436119687,0.5924372307815474,0.4108194446575826,0.25722879494302825,2.073802362070941,1.9193313420476816,0.9877760023446419,0.8461223773198996,0.5651024162402045,2.3683101981278436
1988,centre_droite,2.38888780643588,0.02668009599502484,1.773043114805801,1.6030979155430798,1.9046943451915384,1.6272850834139556,0.5639165103407411,0.10336179078261905,2.205493685832354,2.2756107244239265,3.272014353558855,0.7254033765845819
1988,droite_gaulliste,1.7799445930564786,0.03969571768698872,1.0446544556301527,1.8710877766750884,2.2005599315953455,2.196537873615665,0.7368373698204288,0.039272456254773117,1.3669377961231555,0.8879673601013455,2.1228631030177256,0.7401774163626497
1988,ecologistes,1.1509959031995416,0.07471520006052308,0.38277940002410415,0.17876010959909133,0.5151328095790105,0.49227372286654114,11.807361251303577,0.11775900366313131,10.001982595556587,0.5876039302461112,1.2442707526167742,3.35551018960002
1988,extreme_droite,0.10510344636475136,3.4573244221006423,0.3069552182722834,0.043268880370957934,0.1600200999887674,0.5579012895138385,0.22542768687387832,0.010804067882243768,0.05004049614314223,0.5222889300956286,0.6682592007754886,0.287047972807891
1988,gauche,1.1330185766552066,0.017084624407787557,0.7964529170801679,2.325806816277294,1.116280780333217,0.7479478565372959,0.3408127625139466,0.15271515280131803,1.6768483348376515,3.465509843537695,0.26240386313160063,0.8063714212358264
1988,gauche_radicale,0.9272285730629659,0.0278624661606375,1.6828110636439007,0.5105686233341219,0.5424836390413942,0.33372096223709713,1.9461367567636085,3.4261759589429928,0.8318294035947814,0.41875346643499095,0.3006536929487233,1.991905900583454
1993,centre_droite,2.4089127826906833,1.1339513958139609,0.07394740381359739,1.7528293265221953,2.2198517466360643,0.10459017401044021,0.49878710081067884,0.2601778927604004,1.360038107502907,1.5104573084406134,3.458476850063709,1.7347305605898788
1993,droite_gaulliste,2.193716675455983,1.1475922153841023,0.054717083532194795,2.862712894332592,2.0180939443299053,0.15552099087534046,0.2789795359385645,0.12192761046965142,0.8636038691889941,1.1548550934419823,1.5965753360352153,0.9514425379264031
1993,ecologistes,0.3129152716593169,0.19495381879653506,0.03609062808853507,0.08772011746487912,0.42209831927345454,1.536925534467843,0.4827696032030759,0.134170342524834,1.844507020730621,0.7050462318231228,0.6846497271536013,0.7438783117667014
1993,extreme_droite,0.490861532342407,2.9690009696423534,0.028326065011518207,0.12952243097954724,0.8536859312082766,3.157980670401706,0.319569698165164,0.06523874230377315,0.0790822286466628,0.9632881149608761,1.2325095858401598,1.1743173300709189
1993,gauche,2.0595877236946305,0.5662629433674131,0.047743421651480954,1.9163506663656873,1.8445759412405094,0.026909807673739034,0.5859761201233824,0.7988584091435047,1.3849877358888636,1.2848078764369484,0.8568271139112841,1.017956128892274
1993,gauche_radicale,0.4188810960566256,0.565817774850104,4.5588917337134385,0.4823167995524549,0.29238510532465367,0.030974298672372173,3.214178672015446,3.996908332680686,0.4967116294098313,1.0630899196507138,0.261091869391879,1.1255354477378823
